Summary,Issue Type,Priority,Epic Name,Epic Link,Story Points,Labels,Description
Commerce Hardening,Epic,Highest,Commerce Hardening,,,declay-store,"Make the live-money path correct and safe: atomic stock, idempotent webhooks, abandoned-order cleanup, order emails."
Account Completion,Epic,Highest,Account Completion,,,declay-store,"Finish customer account flows: email verification, password reset, address management UI."
Promotions,Epic,High,Promotions,,,declay-store,Discount codes: admin management and checkout application.
Fulfillment & Shipping,Epic,High,Fulfillment & Shipping,,,declay-store,Shipment tracking and shipping-cost model.
Catalogue Media & Merchandising,Epic,High,Catalogue Media & Merchandising,,,declay-store,"Image/file uploads, homepage banners, product/article tags."
Reviews & Social Proof,Epic,High,Reviews & Social Proof,,,declay-store,"Reviews on product pages, verified-purchase, moderation, wishlist UI."
AI Features,Epic,High,AI Features,,,declay-store,"The differentiator: read-only storefront chatbot and write-enabled admin assistant via Claude tool-use, with chat persistence."
Admin & Operations,Epic,High,Admin & Operations,,,declay-store,"Analytics dashboard, admin-user & role management, site settings, audit log."
"Quality, Security & Ops",Epic,Highest,"Quality, Security & Ops",,,declay-store,"Cross-cutting: tests, security baseline, observability, migration hygiene, CI/CD."
A1: Atomic stock decrement on payment,Story,Highest,,Commerce Hardening,5,declay-store M-size,"As a customer, I want my purchase to decrement stock atomically so the store never oversells.

Acceptance criteria:
- Stock decrement happens within the markAsPaid DB transaction.
- Concurrent checkouts cannot drive variant stock negative (conditional UPDATE ... WHERE stock >= qty or row lock).
- Covered by automated tests simulating concurrency."
A2: Stripe webhook idempotency & failure handling,Story,Highest,,Commerce Hardening,2,declay-store S-size,"As the business, I want webhooks processed idempotently and failures handled so order state always matches Stripe.

Acceptance criteria:
- Duplicate payment_intent.succeeded events are no-ops (processed-event guard).
- payment_intent.payment_failed / canceled updates or cancels the order.
- Signature verification preserved (raw body)."
A3: Expire abandoned pending_payment orders,Story,Highest,,Commerce Hardening,2,declay-store S-size,"As the business, I want stale pending_payment orders auto-expired so they don't accumulate or lock stock.

Acceptance criteria:
- Scheduled job cancels/expires orders older than N minutes.
- Any reserved stock is released."
